,Unnamed: 0,tweet,label
23,23,لا ولاية لشخص على شخص بالغ عاقل . من حق المرأة السعودية أن تعامل كمواطنة كاملة الأهلية في وطنها #نعم_لاسقاط_الولايه #سعوديات_نطلب_اسقاط_الولايه670,POS
24,24,#سعوديات_نطلب_اسقاط_الولايه670 #نعم_لاسقاط_الولاية حقوقنا لا نقاش فيها وابسطها حرية اتخاذ القرار ورفع الوصايه والولايه,POS
25,25,#نعم_لاسقاط_الولاية #سعوديات_نطلب_اسقاط_الولايه670 سأظل اطالب ب اسقاط الولاية لانه حق لي ولن ابرر حقي لمن لا يفهم الحقوق ولمن لا يريد ان يفهم الحرية,POS
26,26,#نعم_لاسقاط_الولاية -عبودية وملكية بحتة -تمييز بين المواطنين -تعليق مصير إنسانة تمثل نص المجتمع على شخص ممكن يكون قاصر أو متخلف بحجة عدم أهليتها يعني بالعربي الأنثى ما عندها لا حقوق ولا كرامة إنسانية لو عدّت الأربعين وهالشي يُرضي الغالبية العظمى,POS
27,27,#الشعب_يرفض_اسقاط_الولايه__. لا والف لا لإسقاط الولاية,POS
28,28,لا والله ما هو حرام ، بالعكس بعد اللي شفناه من ظلم الرجال و تسلطهم اقول و بكل قوة نعم لاسقاط الولاية,POS
29,29,في مسألة الولاية مافي اي شي يجبرني أتقبل رأي و وجه نظر المعارضين لاسقاط الولاية و اعتبرهم مرضى لا إنسانيين و ما يستحقون أصغي او أعطي لرأيهم اي ذرة احترام و تقبل و يستحقون الهجوم و التنمر عليهم,POS
30,30,المرآه لها حقوقها مثلها مثل الرجل تماما ولها كامل الحريه في اتخاذ قراراتها ف هي تمتلك جسد وعقل وروح مثلك ولا ينقصها شي والمجتمع الذي يسلب من المرآه حريتها يعتبر مجتمع غير انساني رجعي متخلف ((لنكون مع المرآه )) #اسقاط_الولاية,POS
31,31,انا مع إسقاط الولاية ويارب تسقط اليوم قبل بكرا بس كم مرة افكر فيها عوايلنا مجرمة ولاعبة فينا نفسيا دايما افكر عيلتي ايش ممكن تسوي لو سقطت الولاية,POS
32,32,اتفق مع قرار اسقاط الولايه بكل اشكالها نحن مسلمين و احرار المرأه ليست ناقصة عقل كما نتصور الا ان نقصت التربيه داخل الاسره فلن يمنعها قيد الولايه عن حريتها,POS
33,33,المرأه ولية نفسها،تسقط جميع اشكال الولاية على المرأه. #سعوديات_نطلب_اسقاط_الولايه 1076,POS
34,34,انشاءالله تسقط با إذن الله اقل شي ادخل الجامعه و التخصص اللي ابيه و ابني مستقبلي اللي قاعد يضيع قدامي وما بيدي شي اسويهو الاب المريض الله حسيبه والله كل ما شفت ابوي احس ودي اولع فيه واحرق قلبه #سعوديات_نطلب_اسقاط_الولايه1079,POS
35,35,الحرية للرأي الحرية للفكر الحرية للمرأة السعودية . #الحرية_لمعتقلي_الرأي #الحريه_للجين_الهذلول #سعوديات_نطلب_اسقاط_الولايه1078,POS
36,36,متى تسقط الولايه يا محمد حتى نخرج جميعنا عرايا الرؤس ونتحرر من غلال العبودية دائما هو الوقت المناسب لتحرير العبيد فافعل الان #سعوديات_نطلب_اسقاط_الولايه1079pic.twitter.com/ocHTDgbZmd,POS
37,37,"#نطالب_الجوازات_بتفعيل_الامر_السامي_33322 لا ""ولاية أمر"" لذكر على أنثى لا ينفق عليها، وما دمنا ننفق على أنفسنا، نأكل ونشرب ونتنقل بمالنا الخاص، فإن ولاية أمر علينا في زواج أو سفر أو حضر.. باطلة، باطلة، باطلة. #سعوديات_نطلب_اسقاط_الولايه1077 #سعوديات_نطلب_اسقاط_الولايه1078",POS
38,38,هذا النظام الابوي المهين سلب من المرأه كرامتها وعزه نفسها وابسط حقوقها سنستمر بالمطالبه حتى تسقط بالكامل #الثلاثاء #22شوال #سعوديات_نطلب_اسقاط_الولايه1078,POS
39,39,لولاية ضرر واقع على المرأة، وإذا كان إسقاطها يضر العائلات والثقافة فذلك لأن العائلات والثقافة ضرر على المرأة. #تسقط_العائلات_والثقافة #سعوديات_نطلب_اسقاط_الولايه1077,POS
40,40,حياة المرأة أهم من كل التقاليد والثقافات والصور، العائلات القائمة على إضطهاد المرأة وتقييدها وسلبها حريتها وكرامتها تسقط وتسقط ثم تسقط. #تسقط_العائلات_والثقافة #سعوديات_نطلب_اسقاط_الولايه1077,POS
41,41,مو لأ ني اطالب بإسقاط الولاية يعني اني ضد الوطن جعلكم العمى ومو معناته اني اطالب بإسقاط الولاية اني مو سعودية وعيب اصلًا تقولون مو سعوديات مدري وش بيستفيدون الاجنبيات اذا سقطت الولاية عن المرأة السعوديه !! عيب والله تفشلوووون #سعوديات_نطلب_اسقاط_الولايه1076,POS
42,42,المرأة انسان عاقل كامل الأهلية، مكلف دينيا ومسؤول قانونيا. لا أدري لماذا لايزال نظام اسقاط الولاية الغبي معمولا به إلى الآن؟ #سعوديات_نطلب_اسقاط_الولايه1076,POS
43,43,#سعوديات_نطلب_اسقاط_الولايه1076 @KingSalman اسقطو قانون استعباد المراه اسقطو بدعه الولايه الذكوريه الظالمه #سجينات_منسيات,POS
44,44,طالما انكم تقرون بأن الولايه لاتكون الا على القاصر سنا وعقلا لماذا لا يزال على المرأه الراشده البالغه العاقله كامله الاهليه ولايه ووصايه ذكوريه؟ #سعوديات_نطلب_اسقاط_الولايه1077https://twitter.com/MojCare/status/1120265873737113600 …,POS
45,45,ماااانبغى نتزوج نبغى ناخذ حقوقنا أول نبغى نعيش حياتنا نبغى نستمتع باللي تبقى من شبابنا!سنين وقرون عدت واحنا بالسجن نفسه أعمارنا قاعدة تضيع بين أربع جدران وفوقها تبغوا تزوجونا وتزيدوا علينا الهم والنكدوالكرف ادخلوا التاق وانظروا لمطالبنا واولوياتنا #سعوديات_نطلب_إسقاط_الولايه1076,POS
46,46,#سعوديات_نطلب_اسقاط_الولايه1076 نبغى حقوقنا كامله انا ابدا ماني مساويه للرجل انا افضل منه بسنين ضوئيه اعطونا حقوقنا نبغى نعيش عمرنا ضاع بسبب هالرجال الله يحرقهم,POS
47,47,#سعوديات_نطلب_اسقاط_الولايه1075 صرت ما عاد أعرف ايش اكتب هنا! المطالبات كلها بديهية وأساسية الواحد يحس بغباء وهو يشرحها ويفندها بعد مرور كل هذا الوقت من الوعي! متى تستوعبون أن الولاية تعني استعباد النساء واسقاطها أمر يجب حدوثه فوراً. تفشلون وأنتم تمثلون الحداثة على العالم,POS
48,48,السماح بدخول النساء للملاعب السماح بقيادة المرأة للسيارة حظر لبس النقاب في الاماكن العامة السماح بالسفر دون اذن ولي الامر اسقاط الولاية على المرأة +18 #سعوديات_نطلب_اسقاط_الولايه1075,POS
49,49,نطالب بإسقاطها كفايه نتزوج بكيف الأخ وعذاب مع الاهل نتزوج مجبورين ومافي انصاف #سعوديات_نطلب_اسقاط_الولايه1060,POS
50,50,اسقاط الولاية اهم من قرارات كثيرة أخذت محله بنموت وحنا نطالب بحق من حقوقنا إلى متى تعامل المرأة زي الطفل مهما سويتوا حفلات وانفتاح وو قدام كل البشر بنبقى شعب متخلف بسبب الولاية #سعوديات_نطلب_اسقاط_الولايه1077,POS
51,51,لايمكن اجبر احد على تغيير تفكيره واعتقاده الغير سوي عن أي شيء بالحياة لكن يجب تغيير هذا القانون الظالم اللي يترك سلطه قانونيه لأي شخص لمجرد انه من عائلة المرأة يطبق عليها ما يعتقد وما يفكر يحرمها حقها ويجبرها ويأذيه استعجلوا في إنهاء هذه المهزله #سعوديات_نطلب_اسقاط_الولايه1075,POS
52,52,#سعوديات_نطلب_اسقاط_الولايه1111 نعم لاسقاط الولاية المتضررين كثر والي مبسوط/ة لا يتفلسفون على المتضررين الي باسط اهلة مابيضرة شي والي معيشهم عيشة زي وجة هو الي بيخاف لانة باختصار جبان يستقوى على أنثى فقط ولا هو بين الرجال كلب ينبح بس,POS
53,53,نعم لإسقاط الولاية على المرأة الراشدة لا للتبرير والمزايدة على حريتنا .. #إقرار_اسقاط_الولاية_بعد_ال18,POS
54,54,#سعوديات_نطلب_اسقاط_الولايه1069 نعم لاسقاط الولاية ، نعم للحرية ، نعم للحقوق ، لا لتكميم الأفواه فنحن لان نصمت لا نسقط بل سنظل واقفين,POS
55,55,اسقطوا_بلاغات_التغيب_العقوق50 #سعوديات_نطلب_اسقاط_الولايه لانها لم تسقط بل أسقطت ارواحنا والنزف مستمر حتى الان,POS
56,56,انا مع إسقاط الولاية حتى لو ماكنت محتاجة لها حب لنفسك ماتحب لغيرك مو معقولة برضى الظلم لغيري لان فيه بعض الناس فعلاً ماتستاهل ان تكون وليه على احد ووفري هرج,POS
57,57,أتمنى أن أنال حقوقي كانثى ولست بحاجه الى أحد لتولى أمري فانا ولية أمر نفسي ولا تحتج أحد يقرر عني فانا اتخاذ قرارتي بنفسي #سعوديات_نطلب_إسقاط_الولايه1059,POS
58,58,سعوديات_نطلب_اسقاط_الولايه886 لازم اسقاط ولايه عشان الناس تعيش حاطين السعوديات في قفص ويسألون حياتك سعيده او تعيسهبالله هذا سؤال مانقدر نسافر نتعلم نتوظف نتزوج الا بشخطة قلم من صبي يمكن يكون اصغر منك ب عقود,POS
59,59,اسقاط الولايه مو يعني تكرهي ابوك واخوانك يعني تكوني مسؤوله عن نفسك وقرراتك انتي تتحكمي فيها بس(:,POS
60,60,#سعوديات_نطلب_اسقاط_الولايه668 نعم لاسقاط الولاية التي ماشرعها الله سبحانه.. ومن يرفض اسقاطها ليس مجبرا بتنفيذها عند صدور قرار اسقاطها.. حرية شخصية لكن لا يلصق الولاية بالاسلام ولا يفرضها على الجميع.. .,POS
61,61,أنا مع اسقاط الولاية وانتظر الخبر بفارغ الصبر مع انها ما راح تشكل لي أي فرق لاني عشت وتربيت وحريتي وحقوقي كلها محفوظة لي بالقدر القانوني اللي يقدروا يقدموه لي أبوي وأخواني، فاللي أنا عشته اتمنى كل البنات يقدروا يحصلوا عليه لانه حقهم الطبيعي أتمنى كل البنات يعيشوا سعيدات,POS
62,64,سلطة الاخ على اخته والوصاية عيب تحصرون شرفكم في جسد نسائكم(الحرية المطلقه مرفوضة)هذا معنى الاستعباد وعشان اشكالكم احنا مع اسقاط الولاية حريتنا اولى من تقاليدكم الباليه النساء مو ملك لك ولا جسد تملكة وتحرمة وتسمح له وتقرر عنه الارادة الكاملة لصاحب الشأن،انت توأد البنت لكن بطريقتك,POS
63,65,سعوديات_نطلب_اسقاط_الولايه771 ولي امري مع اسقاط الولاية اسقطوها كل الرجال مع اسقاطها لأنهم يعلمون ان اسقاطها لن يسقط مكانتهم واحترامهم فقط الذكور يعارضون لأن جبروتهم سيسقط,POS
64,66,#سعوديات_نطلب_اسقاط_الولايه694 لا يصح الا الصحيح،، وضع المرأة تحت قانون الولاية يسبب خلل في المنظومة الأسرية وتسلط أفراد على آخرين لاختلاف الجنس، ونحن نتطلع لمستقبل اقل تطرفاً فلنبدأ باعطاء المرأة الثقه والاعتراف بها كمواطنة كاملة الأهلية أسوة بالمواطن الذكر,POS
65,68,#سعوديات_نطلب_اسقاط_الولايه694 انا ولية امري حتى لو رفض القانون والقضاء والدوله انا ملكي انا ولست ملك للذكر وللقانون انا من انجبته بعد ان خضت معركة الموت وهزمته انا اتولى امره وليس من خرج من رحمي يتولى امري #جحيم_الولاية,POS
66,69,تسقطُ الولايةُ فيَسقطُ الغرورُ الذكوري السّعودي العفِن. #سعوديات_نطلب_اسقاط_الولايه69,POS
67,70,انا مع اسقاط الولاية عشان اظمن حياة افضل لبناتي مابغاهم يعيشون الضيم اللي عشته بسبب ابوي وغير كذا هي شرعا غير واجبة الولاية,POS
68,72,جميعاً مع اسقاط الولايه على المرأه لانها انسانه بالغه عاقله مسؤوله عن اتخاذ قرارات حياتها ! لماذا معاملتها كاقاصر !! لا يرضي مجتمع ولا انسانيه و لادين !!,POS
69,73,انا وضعي الحمدالله ممتاز جداً لكن مع اسقاط الولايه احنا لازم نحس باخواتنا المعنفات نوصل صوتهم مو عشان وضعك كويس منطقه الاحساس و المشاعر تموت عندك,POS
70,75,للأسف الولاية ألغت مبدأ الثقه والمحبة الطبيعي بين أفراد العائلة الواحده وأصبح الرابط هو الخوف وأحيانا المصلحه مقابل الاستغلال . المرأة طبعا الخاسر الوحيد والاضعف نتيجة نظام الولاية الظالم .,POS
71,76,#انا_مع_اسقاط_الولاية_على_المرأة أنا مع أن المرأة تُعامل مُعاملة المواطن البالغ الراشد في إتخاذ قراراتها وتحركاتها كأي مواطن رجل بهذه الأرض، هذا مفهوم إسقاط الولاية، ليست إسقاط شرف.,POS
72,77,#انا_مع_اسقاط_الولاية_على_المرأة انا معها بالرغم من ايماني انها لن تغير في حياتي شيء ولكنني مؤمنة بأنها ستغير حياة الكثيرات وهي حق يجب أن يتم الاعتراف به طال الزمن او قصر,POS
73,78,#انا_مع_اسقاط_الولاية_على_المرأة المرأة كاملة الاهلية في الزواج عاقلة في العقوبات راشدة في الواجبات قاصر في الحقوق نكرر طالما الولاية قائمة دلالة على تناقض القوانين ولابد من نفضها...,POS
74,79,#انا_مع_اسقاط_الولايه_على_المرأه الحرية هي أهم حق بشري، وعدم قدرة الشخص على ممارسة حريته بسبب جنسه جريمة إنسانية، الحريّة لا تُجزأ.,POS
75,80,"#انا_مع_اسقاط_الولاية_على_المرأة الحل في وضعنا هذا ""هو وضع قوانين من الدوله تحمي المراة وتمنحها حق الاستقلال والتنقل والسفر وتسقط الولاية عن المراة الراشده.....",POS
76,81,انا مع اسقاط الولايه لانه حق كل البناااات. عشان اللي تبي تتخلص من معنفها وتعيش حياة كريمة وعشان اللي تبي بس تسافر بكيفها وتروح تشتري ايسكريم,POS
77,82,#مع_أسقاط_الولاية مع كل معنفه وانسانه تسلب حقوقها تحت حكم اخ او ابو ظالم او زوج متسلط,POS
78,83,بالضبط المراه دايماً مستهدفه ومن المفروض بعد سن الرشد تكون حره ولاتطيح في يد لا يخافون ربهم ولا انسانيه,POS
79,84,#سعوديون_مع_اسقاط_الولايه الحرية ليست هدية منحت لنا من عند أحد البشر بل حق أصيل ينتمي لنا بأمر الله وقوانين الطبيعة ..! - جون ويب,POS
80,85,#سعوديون_مع_اسقاط_الولايه نعم وكرجل اقف بكل قوة مع إسقاط الولاية فهي عاقلة بالغة مثلي بالضبط ربت وكبرت هامات المجتمع,POS
81,86,#سعوديون_مع_اسقاط_الولايه غيرتنا على أخواتنا المواطنات تمنعنا من الوقوف متفرجين وهم يُظلمن يوما بعد يوم.نناشد قيادتنا الكريمة رفع الظلم عنهن,POS
82,87,#سعوديون_مع_اسقاط_الولايه وأنا أولهم وثقوا تماما أن إسقاطها لايعني التمرد على القيم ، كما أن حرية المرأة لاتعني الإنفلات الأخلاقي,POS
83,88,#سعوديون_مع_اسقاط_الولايه من يثق ب اهل بيته وتربيتهم ودينهم لايحتاج لنظام ولاية عليهم وحتى شرعا انت وليها وقت عقد نكاحها فقط لاللتسلط,POS
84,89,أنا مع إسقاط الولاية والي يتبجحون بعكس ذلك اكثر ناس يكرهون الولاية على أنفسهم .. خلهم يتحررون .. يكفى عقود من الزمن صابرين على مثلك واشكالك ..,POS
85,90,سعوديات_نطلب_اسقاط_الولايه683 نحن قلباً وقالباً مع اسقاط الولايه قضية الولايه هي قضية كل امرأه حرّه سعوديه .. استمرّوا ولو كره المتآمرون والمحرضون ..,POS
86,91,#سعوديات_نطلب_اسقاط_الولايه1113 كل رجل ضد اسقاط الولاية اما متجبر او ظالم لزوجته او اخته او بنته ويعلم بان اسقاط الولاية سيجعله القانون يحترمها رغما عنه لذلك المسألة ليست دينيه اطلاقا وليس لها علاقه بالدين ،،، الدين لله والوطن للجميع ..,POS
87,92,قرار_اسقاط_الولايه_بعد_ال18 قرار لا يؤثر فالرجل المحترم ذو المكانه سيحترمه اهله ويقدرونه ولن يعصون له امرًا والرجل المتسلط المتعنت بياكل زق وبالاول والأخير ذا طريق #لأسقاط_الابوه وهذا ما نطالب به نحن معشر الرجال,POS
88,93,"أنا مع اسقاط الولاية لان هناك من لايخاف الله في النساء فتقو الله يامن تحكمون على من تطالب بإسقاط الولاية بالساقطه فحشمي لسانك فأن كنتي بنعيم فغيرك في جحيم التسلط كوني "" كن "" عادل",POS
89,94,حبي لوالدي واحترامي له لن يفسد مع اسقاط الولاية لكن كثير من النساء تفسد حياتهم ببقائهم تحت رحمة ولي مجرم لا يخاف الله فيهم!,POS
90,95,انا مع اسقاط الولايه لأسباب رأيتها ومعانات بنات حولي كثيييير ، للأسف بعض الأباء ليس اهل صالح لأهله . #الشعب_يرفض_اسقاط_الولايه,POS
91,96,انا مع إسقاط الولايه لان بكل اختصار المراة كائن عاقل بالغ له حق يعيش بحريه ويتخذ قرارته حسب تفكيره,POS
92,97,#سعوديات_نفخر_بولايه_اهلنا_لنا انا مع اسقاط الولايه في بعض الامور يعني اقدم ع وظيفه يقولي لازم موافقت ولي امرك زوجك اللي معلقني سنه ع الاقل في الوظايف م يحتاج ولي الامر او يخلونها تختار وليها بكيفها ابوها بدال زوجها,POS
93,98,لا لا لا لا لا لإسقاط الولايه لان إسقاط الولايه افساد للمجتمع انا لو عندي بنت وتطلب إسقاط الولايه والله اطردها ماتدخل البيت اخليها تسرح بالشوارع تبحث عن ولي امر جديد لها لانه اذا سقطت الولايه تكون ماتعترف بابوها وين الغيره ع الدين,NEG
94,99,تخيل ان اسقاط الولاية اكثر سبب مطالبين فيه ان البنت تتزوج اللي ابي بدون الرجوع لولي امرها يعني ترجع البيت متزوجة واحد تعرفت عليه بالنت وانت ماتدري تخرج تاجر في فندق مع اي بدون ولي امر تسافر برا بدون ولي امرر اعوذ بالله الله لايوصلنا لهشيء واللي مو فاهم الحياة لايتكلم,NEG
95,100,سعوديات_نفخر_بولايه_اهلنا_لنا انا من اول وانا اقول لا لاسقاط الولاية حسبي الله على اللي يطالب باسقاطها,NEG
96,101,لا اهانه ولا شي هذا شرع الله وشي افتخر فيه وقراراتي انا اتخذها اذا ماكان فيها شي يمسني بسوء او يمس اهلي بالنسبه لاسقاط الولايه لها ابعاد اكثر من ماتتخيلين لذالك نقف ضدها,NEG
97,102,كذب اُريد به زور وبهتان .. تكثيف هذه القصص واختلاق دراما مؤثرة بغرض تكريس مفهوم ان لا وصاية على المرأة من ولي امرها !! طريقة سمجة أيها المندس وراء هذا الحساب . لا لإسقاط الولاية,NEG
98,103,لا للترويج لإسقاط الولاية,NEG
99,104,عزيزاتي_بنات_وطني: إني أحبكم فاحذروا الداعيات لإسقاط الولاية وتأكدوا بأنهن من اللبراليات والكثير منهن بأسماء مستعارة وهن لا ينتمين لدينكن ولا لوطنكن حتى لو ظهرن بأسماء قبائل معروفة فهن منتحلات وتذكروا أهمية أوليائكن وقيمتهم,NEG
100,105,ادب_ال_لا -لا للتغريب -لا لأسقاط الولاية -لا لقيادة النساء للسياره -لا لعباية الكتف والعبايات الملونه كلها لا نحن فتيات الاسلام نرفضها جميعها بدون استثناء,NEG
101,106,الشعب الكويتي العظيم حسم أمره وقال كلمته لا وألف لا لاسقاط الولايه عن المراة بالسعودية انتهى,NEG
102,107,ماهي الولايه التي يتشدق بها اللبراليين هل اصبح طاعة الوالدين وعدم الخروج عن طوعهم ولايه؟!مصيبه لو كان هذا تعامل الفتاه مع والديها اوزوجها !! #لا_لاسقاط_الولايه,NEG
103,108,افتخر بولاية أبي وأخي وزوجي وولدي لا ثم لا لإسقاط الولايه #سعوديات_نفخر_بولايه_اهلنا_لنا,NEG
104,109,#سعوديات_نفخر_بولايه_اهلنا_لنا الله يديمهم أهلي ستر وغطاء وحمايه أنا بنت أبوي على الطيب والعز رباني بعالي الصوت أقول #لا_لاسقاط_الولايه رجالي عزوتي وتأج رأسي,NEG
105,110,#الشعب_يرفض_اسقاط_الولايه بعض النساء هداهن الله لا يعلمن او يتجاهلن معنى اسقاط الولاية .. ان الذين يطبلون لاسقاط الولاية هم والله اكثر الناس عداء للفتاه واكثرهم خبث وحقد عليها . الشرع والبلاد كفلة للمراه حقها حتى من اقرب الناس اليها .,NEG
106,111,#الشعب_يرفض_اسقاط_الولايه لا لإسقاط الولاية لإني فتاة أعتز بديني وبشرع ربي أعتز بولاية زوجي أبي أخي,NEG
107,112,#الشعب_يرفض_اسقاط_الولايه لا طاعة لمخلوق في معصية الخالق هذا محمد بن سلمان يدعو لاسقاط الولايه وأنها من المفترض ان تسافر من غير محرم دام انها مع مجموعه آمنه وان هذا الامر معروف في السعوديه منذو القدم اللي ما ترضاه لأهلك يامحمد بن سلمان الشعب السعودي لا يرضى على اهله,NEG
108,113,سقوط الولايه قرار قد يؤدي الى تفكيك المجتمع كما في الدول الغربيه وكن تتعرض لظلم اسري يمكنها مراجعة الجهات القضائية وانصافها وبالتالي لا داعي لاسقاط الولايه من وجهة نظري الخاصه #الشعب_يرفض_اسقاط_الولايه,NEG
109,114,هذا تخلف وليس حق حتى للرجل نفسه يكون تخلف منه ان خرج عن شور والديه بهالطريقه الغبيه ،، تخيلي بكرا يجونك بنات وتصيري ام ،، واذا كلمتيها قالت انا حرة نفسي ومالك دخل وش بيكون داخلك بترجعي ترفعي تاق ثاني لا لإسقاط الولايه ؟! ،، الولايه ليس تسلط وانما لضبط المركب,NEG
110,115,هنا لا استطيع التحكم في تصرفات بناتي او ردعهم بحجه انها وليه نفسها اخاف عليهم من خداع بعض الذئاب هنا اقول لا لإسقاط الولايه,NEG
111,116,#سعوديات_نطلب_اسقاط_الولايه667 لا لإسقاط الولايه ، لا لإنكار حق الأب الشرعي الذي لن يخاف على أبناءه كثره والأب الذي يخاف الله لن يحرم أبناءه ماحلل الله ولن يرضى لهم بما حرم الله,NEG
112,117,كلمتي لكِ واسمعيها ... لا والف لا .. لإسقاط الولايه ... فهم عزوتنا وسندنا وظلنا تحت اجنحتهم وعسى ربي ان يحفظهم لنا ولا غنى عنهم ابدا #كلمتي_لك_واسمعها,NEG
113,118,ايها المغفلات المطالبات بأسقاط الولاية ان سقطة الولاية فعلمي انه سيعود ملك اليمين يعني كل رجال بيسوي له حوش ويجمع فيه عدد? منكن ابقوا في حماية اولياء الامور لا يسلط الله عليكم من لا يرحمكم . #فضيحه_المعنفات_لاسقاط_الولايه,NEG
